"Species","Migratory status","Body mass (grams)","Nest height","Use of urban/suburban habitats","Nocturnal gregariousness","Exposure of nestlings","Breeding sociality","mass_scaled"
"Porzana parva","Yes",47,"Ground","No","No","Precocial","No",2.31648944570158
"Porzana pusilla","Yes",33,"Ground","No","No","Precocial","No",1.05556984073182
"Charadrius dubius","Yes",38,"Ground","No","Yes","Precocial","No",1.50589827107816
"Charadrius alexandrinus","Yes",45,"Ground","No","Yes","Precocial","No",2.13635807356304
"Calidris minuta","Yes",21,"Ground","No","Yes","Precocial","No",-0.0252183920993952
"Calidris temminckii","Yes",23,"Ground","No","Yes","Precocial","No",0.154912980039141
"Calidris alpina","Yes",45,"Ground","No","Yes","Precocial","No",2.13635807356304
"Limicola falcinellus","Yes",40,"Ground","No","Yes","Precocial","No",1.6860296432167
"Lymnocryptes minimus","Yes",45,"Ground","No","No","Precocial","No",2.13635807356304
"Actitis hypoleucos","Yes",50,"Ground","No","Yes","Precocial","No",2.58668650390938
"Phalaropus lobatus","Yes",30,"Ground","No","Yes","Precocial","No",0.785372782524018
"Sterna albifrons","Yes",50,"Ground","No","Yes","Precocial","Yes",2.58668650390938
"Apus apus","Yes",40,">4 meters","Yes","Yes","Altricial","No",1.6860296432167
"Apus pallidus","Yes",40,">4 meters","Yes","Yes","Altricial","No",1.6860296432167
"Alcedo atthis","Yes",36,"Ground","No","No","Altricial","No",1.32576689893963
"Jynx torquilla","Yes",35,"Intermediate","Yes","No","Altricial","No",1.23570121287036
"Picoides minor","No",22,">4 meters","Yes","No","Altricial","No",0.0648472939698729
"Chersophilus duponti","No",40,"Ground","No","No","Precocial","No",1.6860296432167
"Calandrella brachydactyla","Yes",23,"Ground","No","Yes","Precocial","No",0.154912980039141
"Calandrella rufescens","No",23,"Ground","No","Yes","Precocial","No",0.154912980039141
"Galerida cristata","No",40,"Ground","Yes","No","Precocial","No",1.6860296432167
"Galerida theklae","No",36,"Ground","Yes","No","Precocial","No",1.32576689893963
"Lullula arborea","No",28,"Ground","No","Yes","Precocial","No",0.605241410385482
"Alauda arvensis","Yes",40,"Ground","No","Yes","Precocial","No",1.6860296432167
"Eremophila alpestris","No",38,"Ground","No","Yes","Precocial","No",1.50589827107816
